,title,author,major,tutor,time,url
2885,基于NMR的TRIM25／RIG-I相互作用研究,魏治明(硕士),生物学,林天伟,2020-06-03 09:30,https://gs.xmu.edu.cn/info/1220/8117.htm
2886,细胞死亡信号通路中FADD-DD和RIP1-DD复合物的结构研究,罗旭枭(硕士),生物学,林天伟,2020-06-03 09:30,https://gs.xmu.edu.cn/info/1220/8116.htm
2887,以结构为基础的 Csn-B 衍生物的设计和开发,李云龙(硕士),生物学,林天伟,2020-06-03 09:30,https://gs.xmu.edu.cn/info/1220/8115.htm
2888,HRV2型病毒2A蛋白酶的片段化合物筛选,李环君(硕士),生物学,林天伟,2020-06-03 09:30,https://gs.xmu.edu.cn/info/1220/8114.htm
2889,肠道病毒71型2C蛋白的结构生物学研究及药物筛选,陈超龙(硕士),生物学,林天伟,2020-06-03 09:30,https://gs.xmu.edu.cn/info/1220/8113.htm
2890,深度网络的参数量化及加速,刘庆宇(硕士),计算机技术(专业学位),纪荣嵘,2020-06-03 10:00,https://gs.xmu.edu.cn/info/1220/8112.htm
2891,斑马鱼胚胎时期菲暴露后的生殖毒性效应与机制,陈莹(硕士),生物学,王重刚,2020-06-03 10:00,https://gs.xmu.edu.cn/info/1220/8111.htm
2892,激光诱导法制备Ag掺杂的ZnO样品及其性能的研究,陈泽凯(硕士),电子与通信工程(专业学位),王惠琼,2020-06-03 10:00,https://gs.xmu.edu.cn/info/1220/8110.htm
2893,开发式扶贫的宁德探索（1986——1993） ——以寿宁县为个案,尹婷(硕士),马克思主义理论,叶兴建,2020-06-03 14:30,https://gs.xmu.edu.cn/info/1220/8129.htm
2894,抗战时期闽东游击队与前进游击区研究,吴妙玲(硕士),马克思主义理论,李小平,2020-06-03 14:30,https://gs.xmu.edu.cn/info/1220/8128.htm
2895,抗战时期霞浦县经济游击队宣传队研究,贾丽娜(硕士),马克思主义理论,董兴艳,2020-06-03 14:30,https://gs.xmu.edu.cn/info/1220/8127.htm
2896,《陕甘宁边区劳模群体研究》,郭莹(硕士),马克思主义理论,佳宏伟,2020-06-03 14:30,https://gs.xmu.edu.cn/info/1220/8126.htm
2897,基于多源数据融合的数据挖掘,翁宇游(硕士),计算机科学与技术,林琛,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8125.htm
2898,面向微博的网络舆情情感演变分析,王云杰(硕士),计算机技术(专业学位),林琛,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8124.htm
2899,基于非补偿决策机制的推荐技术研究,沈晓麟(硕士),计算机技术(专业学位),林琛,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8123.htm
2900,碳纤维增强复合材料（CFRP）的电化学行为及其与典型工程合金的电偶腐蚀过程研究,张驰(博士),材料学,宋光铃,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8122.htm
2901,溶胶凝胶法生长氧化镁锌及紫外光电探测器研究,吴俊慷(硕士),凝聚态物理,洪荣墩,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8121.htm
2902,政府责任和人才竞争双视角下的公共租赁住房设计模式初探 —— 以厦门市为例,TIU YEE CHIA(硕士),设计学,陈文捷,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8120.htm
2903,东周时期人物图像的类型与族属研究,王丹菲(硕士),文物与博物馆硕士(专业学位),张闻捷,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8139.htm
2904,东周秦汉图像资料中的乐钟制度,罗诗晨(硕士),文物与博物馆硕士(专业学位),张闻捷,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8138.htm
2905,襄阳西王家巷秦汉墓的初步研究,林俊毅(硕士),文物与博物馆硕士(专业学位),张闻捷,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8137.htm
2906,“从众效应”与博物馆空间设计策略之研究,徐佩业(硕士),艺术设计(专业学位),李蔚青,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8136.htm
2907,环境心理与城市公园景观设计应用研究,苏梦雨(硕士),艺术设计(专业学位),李蔚青,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8135.htm
2908,数字技术之于当代展示设计实务,吕晓艺(硕士),艺术设计(专业学位),李蔚青,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8134.htm
2909,济南将军庙片区“自我更新”模式初探,韩玉丽(硕士),艺术设计(专业学位),陈文捷,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8133.htm
2910,基于社区养老理念的城市养老建筑设计策略初探,刘维旸(硕士),设计学,林天喜,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8132.htm
2911,以“城市修补”理念为指导的厦门鹭江道街道活力重塑初探,刘硕诗(硕士),设计学,陈文捷,2020-06-03 09:00,https://gs.xmu.edu.cn/info/1220/8131.htm
2912,闽宁对口帮扶协同治理经验研究,周莉(硕士),马克思主义理论,叶兴建,2020-06-03 14:30,https://gs.xmu.edu.cn/info/1220/8130.htm
2913,强制性企业社会责任披露对债务融资行为的影响 —基于中国A股上市公司的经验证据,周梦婷(硕士),会计学,胡金帅,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8149.htm
2914,股票流动性与审计费用,张莹莹(硕士),会计学,李茂良,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8148.htm
2915,民营化对现金股利政策的影响——基于中国 A 股上市公司的经验证据,徐钰婷(硕士),会计学,胡金帅,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8147.htm
2916,研究型大学科研成果转化为课程内容研究 ——以厦门大学三个研究院为中心,曹荭蕾(硕士),课程与教学论,陈武元,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8146.htm
2917,我国第一代大学生就业质量影响因素研究,胡艳婷(硕士),教育经济与管理,邬大光,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8145.htm
2918,“一带一路”背景下波兰汉学系人才培养模式研究,孙莉(硕士),课程与教学论,陈武元,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8144.htm
2919,海绵养殖试验以及海绵细胞脱落现象的初步探究,翟金炎(硕士),海洋生物学,陈军,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8143.htm
2920,海洋放线菌RiPP生物合成基因簇的异源表达及底盘测试,梁君雨(硕士),海洋生物学,陈军,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8142.htm
2921,Cr3+在拟穴青蟹中的富集效应及其对糖代谢的影响,蔡旺进(硕士),海洋生物学,艾春香,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8141.htm
2922,安徽江淮地区周代陶鬲谱系试析,周萌(硕士),文物与博物馆硕士(专业学位),张闻捷,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8140.htm
2923,基于二值离散余弦变换的轻量级图像分类系统实现,邢翔瑞(硕士),电子与通信工程(专业学位),丁兴号,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8159.htm
2924,基于图嵌入和图卷积的无监督对抗图对齐,谢伟平(硕士),电子与通信工程(专业学位),丁兴号,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8158.htm
2925,基于弱监督学习的DR胸片中胸肺疾病的识别与定位,吴亚文(硕士),电子与通信工程(专业学位),蔡聪波,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8157.htm
2926,基于多指标信息的面向移动端疲劳驾驶预警系统研究,刘振卫(硕士),电子与通信工程(专业学位),黄悦,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8156.htm
2927,基于风格转化和引导机制的跨域目标检测,江明辉(硕士),电子与通信工程(专业学位),黄悦,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8155.htm
2928,基于细粒度特征对齐的无监督域自适应算法研究,陈超奇(硕士),电子与通信工程(专业学位),丁兴号,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8154.htm
2929,迪士尼公主系列长动画中的性别话语研究,张春(博士),中国现当代文学,林丹娅,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8153.htm
2930,“十七年文学”（1949-1966）中的空间,宋尚诗(博士),中国现当代文学,王宇,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8152.htm
2931,关键审计事项披露和盈余管理方式选择：来自英国的证据,DORCAS NDUAKOH(硕士),会计学,李茂良,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8151.htm
2932,风险认知偏差和和商业信用政策：来自自然灾害的证据,EBENEZER EFFAH(硕士),财务学,李茂良,2020-06-03 08:30,https://gs.xmu.edu.cn/info/1220/8150.htm
2933,苯并磷杂环戊二烯合成新方法研究,郭嘉密(硕士),化学工程(专业学位),吐松,2020-06-02 15:10,https://gs.xmu.edu.cn/info/1220/8169.htm
2934,压电材料均匀性无损评估,庄铭煌(硕士),海洋物理,汤立国,2020-06-02 15:30,https://gs.xmu.edu.cn/info/1220/8168.htm
2935,浅海动态、起伏海面声波散射特性研究,张歆(硕士),海洋物理,刘胜兴,2020-06-02 15:30,https://gs.xmu.edu.cn/info/1220/8167.htm
2936,磷杂香豆素衍生物合成新方法研究,黄仙华(硕士),化学工程,吐松,2020-06-02 15:50,https://gs.xmu.edu.cn/info/1220/8166.htm
2937,颞叶海绵状血管瘤相关癫痫的手术治疗及诊断手段,张力(硕士),外科学(专业学位),杨朋范,2020-06-02 16:30,https://gs.xmu.edu.cn/info/1220/8165.htm
2938,"1,3-二甲基-2-咪唑啉酮高效清洁生产工艺开发",毛晨路(硕士),化学工程,吐松,2020-06-02 16:30,https://gs.xmu.edu.cn/info/1220/8164.htm
2939,超弹性及脆性高分子材料力学简化模型构建及有限元分析,王迎珠(硕士),材料工程(专业学位),戴李宗,2020-06-02 17:00,https://gs.xmu.edu.cn/info/1220/8163.htm
2940,《联合国海洋法公约》体系下的调解机制及其实践研究,董利民(博士),国际法学,陈辉萍,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8162.htm
2941,基于改进的旋转区域卷积神经网络的遥感图像目标检测,李斐(硕士),信号与信息处理,丁兴号,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8161.htm
2942,基于深度学习的视频插帧算法研究,董成威(硕士),信号与信息处理,丁兴号,2020-06-03 08:00,https://gs.xmu.edu.cn/info/1220/8160.htm
2943,开关电容型电力电子变压器关键技术研究,徐鑫勇(硕士),测试计量技术及仪器,何良宗,2020-06-02 12:00,https://gs.xmu.edu.cn/info/1220/8179.htm
2944,宽输入高效车载充电机的关键技术研究,陈嘉哲(硕士),测试计量技术及仪器,何良宗,2020-06-02 12:00,https://gs.xmu.edu.cn/info/1220/8178.htm
2945,草酸混合酯/柴油的新体系构建,皮娜(硕士),化学工程(专业学位),尹应武,2020-06-02 12:30,https://gs.xmu.edu.cn/info/1220/8177.htm
2946,电控粘/脱粘硼酸酯聚合物水凝胶的制备与机器人反重力运动,黄俊文(硕士),材料工程(专业学位),袁丛辉,2020-06-02 14:00,https://gs.xmu.edu.cn/info/1220/8176.htm
